School System,Student-Teacher Ratio (to every 1 teacher),Number of Schools,Number of Students,Total Minority Enrollment Percent,Percent of White Students,Percent of Black Students,Percent of Hispanic Students,Percent of Asian Students,Two or More Races,American Indian/Alaska Native,Native Hawaiian/Pacific Islander,Economically Disadvantaged ,Average Percent of Certified Teachers ,Number of Full-Time Counselors,High School College Readiness,High School Math Proficiency,Middle School Math Proficiency,Elementary School Math Proficiency,High School Reading Proficiency,Middle School Reading Proficiency,Elementary School Reading Proficiency,Total Revenue,Revenue per Student,Total Current Expenses,Expenses per Student,State Funding (percent),Local Funding (percent),Federal Funding (percent),Amount Spent on Instruction (in millions),Amount Spent of Support Services (in millions),Amount Spent on Other Expenses (in millions),Mountain,Piedmont,Coastal,Region
Alamance-Burlington Schools,15,100,52704,32,5.8,96.8,24.2,16.5,85.4,61.6,5.1,62.6,35.2,9,72.3,44,76,75,25,86,46,802575,823336,278461,452382,32.8,54.1,97.9,46.1,34.6,60.8,0,1,0,Piedmont
Beaufort County Schools,20,71,121568,80,33.6,99.3,21.5,25.2,35.2,24.2,6.9,89.4,29.1,9,59.5,84,92,78,91,19,43,957837,461550,957257,900658,47.7,2.8,85,12,1.3,84.7,0,0,1,Coastal
Cabarrus County Schools,15,176,71865,86,54.9,87.9,79.2,42.5,46.8,34.4,4.4,50.8,50.4,6,58.1,9,66,16,56,73,1,870598,556039,331690,727428,20.1,13.9,59.3,80.3,85.1,31,0,1,0,Piedmont
Dare County Schools,20,148,115528,82,16.5,49,85.1,32,96.8,80.4,3.1,71.9,25.5,4,3.2,29,96,21,64,37,90,325152,606802,679934,718104,70.5,65.6,66.8,17.3,3.6,27.2,0,0,1,Coastal
Edenton-Chowan Schools,13,138,7690,98,95.4,90.8,26.1,1.2,49.1,9.7,3.1,49.8,87.8,6,7.4,71,81,44,77,26,96,885252,341022,679927,731049,19.7,62,94.7,58.5,67.4,76.1,0,0,1,Coastal
Franklin County Schools,15,46,13542,35,51.1,12.5,35.4,20.8,18.2,86.8,3.2,20.1,31,9,94.5,81,58,64,28,26,93,779915,995635,109842,476113,42.8,44.2,7.9,19.2,99.1,51.2,0,1,0,Piedmont
Gaston County Schools,20,96,52937,86,99,72.2,97.9,23.2,11.5,61.6,2.8,50.8,54.4,2,40.4,85,10,30,30,98,61,679183,574262,301621,862243,38.4,22.2,27.2,62.4,76.3,1.1,0,1,0,Piedmont
Halifax County Schools,18,11,80456,73,70.5,17.4,34.5,81.7,87.8,74.4,1.2,41.5,24.4,2,42.1,93,11,88,58,41,79,604461,210769,745615,775776,78.5,71.1,65.6,75,28.9,16.2,0,0,1,Coastal
Iredell-Statesville Schools,20,71,29481,48,54.3,79.6,78.4,54,59.9,49.6,7.7,7.5,63.7,8,NULL,54,23,91,72,8,35,760280,792241,508223,876767,31.9,88.3,76.3,0.1,2.6,90.7,0,1,0,Piedmont
Jackson County Schools,14,48,40485,32,26.5,67.9,19.1,71.7,36,80.4,3.7,85.9,60,1,5.6,4,27,83,40,59,21,164277,705275,384365,623588,82.4,99.6,19.2,19.3,11.3,84.3,1,0,0,Mountain
