School System,Student-Teacher Ratio (to every 1 teacher),Number of Schools,Number of Students,Total Minority Enrollment Percent,Percent of White Students,Percent of Black Students,Percent of Hispanic Students,Percent of Asian Students,Two or More Races,American Indian/Alaska Native,Native Hawaiian/Pacific Islander,Economically Disadvantaged ,Average Percent of Certified Teachers ,Number of Full-Time Counselors,High School College Readiness,High School Math Proficiency,Middle School Math Proficiency,Elementary School Math Proficiency,High School Reading Proficiency,Middle School Reading Proficiency,Elementary School Reading Proficiency,Total Revenue,Revenue per Student,Total Current Expenses,Expenses per Student,State Funding (percent),Local Funding (percent),Federal Funding (percent),Amount Spent on Instruction (in millions),Amount Spent of Support Services (in millions),Amount Spent on Other Expenses (in millions)
Alamance-Burlington Schools,15,37,"22,489",60,37,24.5,29.7,1.6,6.9,0.2,0.1,47.5,83.8,37,22,33,35,41,53,34,39,"234,737,000","10,703","225,441,000","10,025",65.4,20.6,14.1,152.9,63,9.5
Alexander County Schools,16,12,"4,525",23,77,4.6,11.9,1.6,4.7,0.1,0.1,41.7,95.3,10,18.4,74,45,56,76,52,53,"54,490,000","11,918","51,335,000","11,345",65.2,19.3,15.5,32,16.4,3
Alleghany County Schools,12,4,"1,421",30,70.9,0.6,25.9,0.1,2.3,0.1,0.2,50.5,87.2,2,NULL,26,48,48,58,40,40,"19,038,000","14,133","17,752,000","12,493",68.1,21,11,10.8,6.2,0.8
Anson County Schools,15,9,2.964,70,30.6,54.8,7.9,1.5,4.8,0.3,0,69.5,94.1,5,NULL,57,25,38,52,32,37,"38,259,000","12,829","36,202,000","12,214",69.2,15.9,14.9,21.3,13.3,1.6
Ashe County Schools,14,6,2.743,20,83.4,0.5,13.4,0.4,2.1,0.1,0,44.3,100,5,13.3,72,63,63,80,55,55,"36,778,000","12,836","34,415,000","12,546",66.7,20.1,13.2,20.6,12.1,1.7
Asheboro City Schools,14,8,"4,383",70,26.9,14.7,51.1,1.3,5.8,0.2,0,54.3,95.8,7,24.8,13,30,42,43,36,31,"52,301,000","11,758","47,994,000","10,950",63.9,21.6,14.6,30.7,15,2.2
Asheville City Schools,13,9,4137,40,62.1,19.1,8.9,0.9,7.7,0.2,0.9,29.6,97.5,10,47,44,49,49,78,57,55,"66,144,000","15,382","61,342,000","14,828",45,47.3,7.8,37.1,22.3,1.9
Avery County Schools,12,8,"1,904",20,82.3,0.5,14,0.6,2.3,0.3,0.1,43.6,85.6,4,12.6,43,51,59,63,50,56,"37,048,000","19,540","25,433,000","13,358",51,36.2,12.8,14.3,10,1.2
Beaufort County Schools,14,14,"5,975",60,43.1,32,17.6,0.4,6.7,0.1,0.1,67.4,91.6,11,10.8,50,40,50,58,34,42,"75,604,000","12,473","71,498,000","11,966",61.6,22.6,15.7,43.8,23.9,3.8
Bertie County Schools,14,7,"1,831",90,9.6,83,2.8,0.3,4.2,0.2,0,67.1,87.6,3,NULL,50,21,42,47,35,40,"29,498,000","15,088","27,511,000","15,025",64,21.8,14.2,14.8,10.7,2.1
Bladen County Schools,15,13,3.983,70,34.9,35.1,21.2,0.2,6.3,2.2,0.1,64.4,89.7,9,4.3,43,28,34,46,34,33,"56,390,000","14,037","50,872,000","12,772",61.8,14.5,23.7,29.8,17.2,2.9
Brunswick County Schools,15,20,"12,944",40,60.9,14,16.8,0.7,6.9,0.5,0.2,64.8,93.9,21,15.1,46,49,61,62,46,54,"185,776,000","15,322","142,111,000","10,979",46.7,44.2,9.1,83.8,52.9,5.4
Buncombe County Schools,14,45,"22,091",30,65.9,6.8,20.4,1.2,4.9,0.3,0.4,41.1,85.6,50,26.5,46,51,54,70,49,49,"288,311,000","12,929","254,752,000","11,532",55.3,33.6,11.1,161.1,84.3,9.3
Burke County Schools,16,27,"11,770",40,62.8,4.2,20.1,5.8,6.6,0.1,0.3,51,91.3,20,20.5,50,38,51,58,40,44,"124,773,000","10,634","117,874,000","10,015",69.2,17.2,13.6,73.2,40.9,3.8
