School System,NC County,Region
Alamance-Burlington Schools,Alamance and Guilford ,Piedmont
Alexander County Schools,Alexander ,Mountain
Alleghany County Schools,Alleghany ,Mountain
Anson County Schools,Anson  ,Piedmont
Ashe County Schools,Ashe ,Mountain
Asheboro City Schools,Randolph ,Piedmont
Asheville City Schools,Buncombe ,Mountain
Avery County Schools,Avery ,Mountain
Beaufort County Schools,Beaufort ,Coastal
Bertie County Schools,Bertie ,Coastal
Bladen County Schools,Bladen ,Coastal
Brunswick County Schools,Brunswick  ,Coastal
Buncombe County Schools,Buncombe  ,Mountain
Burke County Schools,Burke  ,Mountain
Cabarrus County Schools,Cabarrus  ,Piedmont
Caldwell County Schools,Caldwell  ,Mountain
Camden County Schools,Camden  ,Coastal
Carteret County Public Schools,Carteret  ,Coastal
Caswell County Schools,Caswell  ,Piedmont
Catawba County Schools,Catawba  ,Mountain
Chapel-Hill Carrboro City Schools,Orange ,Piedmont
Charlotte-Mecklenburg Schools,Mecklenburg ,Piedmont
Chatham County Schools,Chatham ,Piedmont
Cherokee County Public Schools,Cherokee ,Mountain
Clay County Schools,Clay,Mountain
Cleveland County Schools,Cleveland,Mountain
Clinton City Schools,Sampson ,Coastal
Columbus County Schools,Columbus,Coastal
Craven County Schools,Craven,Coastal
Cumberland County Schools,Cumberland,Coastal
Currituck County Schools,Currituck ,Coastal
Dare County Schools,Dare ,Coastal
Davidson County Schools,Davidson ,Piedmont
Davie County Schools,Davie ,Piedmont
Duplin County Schools,Duplin ,Coastal
Durham County Schools,Durham ,Piedmont
Edenton-Chowan Schools,Chowan ,Coastal
Edgecomb County Public Schools,Edgecomb ,Coastal
Elizabeth City-Pasquotank Public Schools,Pasquotank ,Coastal
Elkin City Schools,Surry and Wilkes,Piedmont/Mountain
Franklin County Schools,Franklin ,Piedmont
Gaston County Schools,Gaston ,Piedmont
Gates County Schools,Gates ,Coastal
Graham County Schools,Graham ,Mountain
Granville County Schools,Granville ,Piedmont
Greene County Schools,Greene ,Coastal
Guilford County Schools,Guilford ,Piedmont
Halifax County Schools,Halifax ,Coastal
Harnett County Schools,Harnett ,Coastal
Haywood County Schools,Haywood ,Mountain
Henderson County Public Schools,Henderson ,Mountain
Hertford County Schools,Hertford ,Coastal
Hickory City Schools,Catawba  ,Mountain
Hoke County Schools,Hoke ,Coastal
Hyde County Schools,Hyde ,Coastal
Iredell-Statesville Schools,Iredell,Piedmont
Jackson County Schools,Jackson ,Mountain
Johnston County Schools,Johnston ,Coastal
Jones County Schools,Jones ,Coastal
Kannapolis City Schools,Cabarrus and Rowan,Piedmont
Lee County Schools,Lee ,Piedmont
Lenoir County Schools,Lenoir ,Coastal
Lexington City Schools,Davidson ,Piedmont
Lincoln County Schools,Lincoln ,Piedmont
Macon County Schools,Macon ,Mountain
Madison County Schools,Madison ,Mountain
Martin County Schools,Martin ,Coastal
McDowell County Schools,McDowell ,Mountain
Mitchell County Schools,Mitchell ,Mountain
Montgomery County Schools,Montgomery ,Piedmont
Moore County Schools,Moore ,Piedmont
Mooresville Graded School District,Iredell,Piedmont
Mount Airy City Schools,Surry ,Piedmont
Nash-Rocky Mount Public Schools,Nash and Edgecomb,Coastal
New Hanover County Schools,New Hanover ,Coastal
Newton-Conover City Schools,Catawba,Mountain
Northampton County Schools,Northampton ,Coastal
Onslow County Schools,Onslow ,Coastal
Orange County Schools,Orange ,Piedmont
Pamlico County Schools,Pamlico ,Coastal
Pender County Schools,Pender ,Coastal
Perquimans County Schools,Perquimans ,Coastal
Person County Schools,Person ,Piedmont
Pitt County Schools,Pitt ,Coastal
Polk County Schools,Polk ,Mountain
Public Schools of Robeson County,Robeson ,Coastal
Randolph County School System,Randolph ,Piedmont
Richmond County Schools,Richmond ,Piedmont
Roanoke Rapids Graded School District,Halifax,Coastal
Rockingham County Schools,Rockingham ,Piedmont
Rowan-Salisbury Schools,Rowan,Piedmont
Rutherford County Schools,Rutherford ,Mountain
Sampson County Schools,Sampson ,Coastal
Scotland County Schools,Scotland ,Coastal
Stanly County Schools,Stanly ,Piedmont
Stokes County Schools,Stokes ,Piedmont
Surry County Schools,Surry ,Piedmont
Swain County Schools,Swain ,Mountain
Thomasville City Schools,Davidson,Piedmont
Transylvania County Schools,Transylvania ,Mountain
Tyrrell County Schools,Tyrrell ,Coastal
Union County Public Schools,Union ,Piedmont
Vance County Schools,Vance ,Piedmont
Wake County Public School System,Wake ,Piedmont
Warren County Schools,Warren ,Piedmont
Washington County Schools,Washington ,Coastal
Watauga County Schools,Watauga ,Mountain
Wayne County Public Schools,Wayne ,Coastal
Weldon City Schools,Halifax,Coastal
Whiteville City Schools,Columbus,Coastal
Winston Salem / Forsyth County Schools,Forsyth ,Piedmont
Wilkes County Schools,Wilkes ,Mountain
Wilson County Schools,Wilson ,Coastal
Yadkin County Schools,Yadkin ,Piedmont
Yancey County Schools,Yancey ,Mountain
